[25/09/2021, 00:35:00] Oggbot#1237 (780927367626752000) | Lily_067#0435 (792757174555377715) > 509 | daily
[25/09/2021, 08:58:20] Oggbot#1237 (780927367626752000) | fn#1009 (328249931544395776) > 1,486 | daily
[25/09/2021, 09:23:45] Oggbot#1237 (780927367626752000) | bethan#2511 (584101687892115457) > 1,101 | daily
[25/09/2021, 09:37:04] Oggbot#1237 (780927367626752000) | jigglyhuff#5788 (500332880048947210) > 1,161 | daily
[25/09/2021, 16:00:00] Oggbot#1237 (780927367626752000) | beepboop#2925 (730582272029229196) > 20,000 | lottery winner
[25/09/2021, 16:00:23] Commander Society#3190 (446027811426271232) | Oggbot#1237 (780927367626752000) > 1,000 | lottery ticket
[25/09/2021, 16:02:09] fn#1009 (328249931544395776) | Oggbot#1237 (780927367626752000) > 1,000 | lottery ticket
[25/09/2021, 16:43:38] MrMachineGuy#1812 (328247346557222913) | Oggbot#1237 (780927367626752000) > 1,000 | lottery ticket
[25/09/2021, 16:44:52] blobfordeath22#0080 (584150201489686529) | Oggbot#1237 (780927367626752000) > 1,000 | lottery ticket
[25/09/2021, 17:20:56] Lily_067#0435 (792757174555377715) | Oggbot#1237 (780927367626752000) > 1,000 | lottery ticket
[25/09/2021, 17:36:58] Spicy#8560 (433378984483618836) | Oggbot#1237 (780927367626752000) > 1,000 | lottery ticket
[26/09/2021, 00:01:46] Oggbot#1237 (780927367626752000) | Commander Society#3190 (446027811426271232) > 1,393 | daily
[26/09/2021, 00:03:08] Oggbot#1237 (780927367626752000) | Spicy#8560 (433378984483618836) > 1,283 | daily
[26/09/2021, 00:03:24] Oggbot#1237 (780927367626752000) | MrMachineGuy#1812 (328247346557222913) > 1,096 | daily
[26/09/2021, 00:34:30] Oggbot#1237 (780927367626752000) | Lily_067#0435 (792757174555377715) > 1,963 | daily
[26/09/2021, 00:34:48] Oggbot#1237 (780927367626752000) | beepboop#2925 (730582272029229196) > 1,405 | daily
[26/09/2021, 00:34:48] Oggbot#1237 (780927367626752000) | fn#1009 (328249931544395776) > 998 | daily
[26/09/2021, 00:35:21] beepboop#2925 (730582272029229196) | Oggbot#1237 (780927367626752000) > 1,000 | lottery ticket
[26/09/2021, 01:48:17] Oggbot#1237 (780927367626752000) | blobfordeath22#0080 (584150201489686529) > 1,263 | daily
[26/09/2021, 07:15:00] Oggbot#1237 (780927367626752000) | MaxJWifi#8545 (690576690900107284) > 1,483 | daily
[26/09/2021, 07:40:20] Oggbot#1237 (780927367626752000) | jigglyhuff#5788 (500332880048947210) > 1,369 | daily
[26/09/2021, 08:57:10] bethan#2511 (584101687892115457) | Oggbot#1237 (780927367626752000) > 1,000 | lottery ticket
[26/09/2021, 13:01:02] Oggbot#1237 (780927367626752000) | skidmarks#8176 (404713115155038220) > 1,408 | daily
[26/09/2021, 13:01:31] skidmarks#8176 (404713115155038220) | Oggbot#1237 (780927367626752000) > 1,000 | lottery ticket
[26/09/2021, 16:22:58] Oggbot#1237 (780927367626752000) | bethan#2511 (584101687892115457) > 815 | daily
[27/09/2021, 00:00:29] Oggbot#1237 (780927367626752000) | Commander Society#3190 (446027811426271232) > 2,177 | daily
[27/09/2021, 00:01:28] Oggbot#1237 (780927367626752000) | blobfordeath22#0080 (584150201489686529) > 2,224 | daily
[27/09/2021, 00:20:06] Oggbot#1237 (780927367626752000) | Spicy#8560 (433378984483618836) > 1,243 | daily
[27/09/2021, 00:21:38] Oggbot#1237 (780927367626752000) | beepboop#2925 (730582272029229196) > 1,204 | daily
